3001814,RIBIG0605.2.2011,-121.7065141,39.44088302,ASD,NA,5,USA,California,2011,NA,NA,Rice,RIBIG0605,489,1.883252946
3001815,RIBIG0606.2.2011,-121.7068518,39.44084262,ASD,NA,5,USA,California,2011,NA,NA,Rice,RIBIG0606,489,1.470776893
3001816,RIBIG0607.2.2011,-121.7068655,39.44059292,ASD,NA,5,USA,California,2011,NA,NA,Rice,RIBIG0607,489,1.412705415
3001817,RIBIG0608.2.2011,-121.7065105,39.44060306,ASD,NA,5,USA,California,2011,NA,NA,Rice,RIBIG0608,489,1.751811027
3001818,RIBIG0609.2.2011,-121.7061603,39.44065218,ASD,NA,5,USA,California,2011,NA,NA,Rice,RIBIG0609,489,1.137847817
3001819,RIBIG0610.2.2011,-121.7065129,39.44086399,ASD,NA,5,USA,California,2011,NA,NA,Rice,RIBIG0610,489,1.222981648
3001820,RIBIG0701.2.2011,-121.7134614,39.44337898,ASD,NA,5,USA,California,2011,NA,NA,Rice,RIBIG0701,489,0.911851285
3001821,RIBIG0702.2.2011,-121.7134978,39.44367494,ASD,NA,5,USA,California,2011,NA,NA,Rice,RIBIG0702,489,1.4692478
3001822,RIBIG0703.2.2011,-121.7135752,39.44394886,ASD,NA,5,USA,California,2011,NA,NA,Rice,RIBIG0703,489,1.10887892
3001823,RIBIG0704.2.2011,-121.7132308,39.44394082,ASD,NA,5,USA,California,2011,NA,NA,Rice,RIBIG0704,489,1.459766215
3001824,RIBIG0705.2.2011,-121.7132043,39.44368383,ASD,NA,5,USA,California,2011,NA,NA,Rice,RIBIG0705,489,1.104429404
3001825,RIBIG0706.2.2011,-121.7131897,39.44336976,ASD,NA,5,USA,California,2011,NA,NA,Rice,RIBIG0706,489,1.616262966
3001826,RIBIG0707.2.2011,-121.7128228,39.44337797,ASD,NA,5,USA,California,2011,NA,NA,Rice,RIBIG0707,489,1.72751654
3001827,RIBIG0708.2.2011,-121.7129317,39.44370864,ASD,NA,5,USA,California,2011,NA,NA,Rice,RIBIG0708,489,1.224403998
3001828,RIBIG0709.2.2011,-121.7130051,39.44394467,ASD,NA,5,USA,California,2011,NA,NA,Rice,RIBIG0709,489,1.568530376
3001829,RIBIG0710.2.2011,-121.7131586,39.44369716,ASD,NA,5,USA,California,2011,NA,NA,Rice,RIBIG0710,489,1.325883236
